Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
SAR1A,1.15291983719005,15.4101092719541,3.42248179008555,0.00302656686192447,0.0712252068172893,-1.76887491028863
PEBP4,-0.641162563710594,15.4165949460965,-3.40857444273818,0.00312138805622196,0.0718198490046152,-1.79785454943843
NSF,0.63654979810922,12.3420885405266,3.40215344179863,0.00316615047447841,0.0718198490046152,-1.81122729947663
DEFB1,-0.567950109653912,14.5011249033093,-3.4010497195568,0.00317390834128044,0.0718198490046152,-1.81352551730289
CCL5,0.744962555545406,16.480808319696,3.38904739918991,0.00325949074800273,0.0724865742990302,-1.83850847508103
ANGPTL8,-0.731808084727699,13.8479035649297,-3.38429221798705,0.0032940235108356,0.0724865742990302,-1.84840193292943
ENO2,-2.38325417017061,11.8297860458867,-3.37182260160681,0.00338630209123651,0.0724865742990302,-1.87433340605227
"coy_tr|A0A3B3ISV5|A0A3B3ISV5_HUMAN readthrough, Uncharacterized protein OS=Homo sapiens OX=9606",0.447827849062628,11.2700203001037,3.37024608177872,0.00339814873331055,0.0724865742990302,-1.87761060449994
ANGPTL3,-0.583159762751652,17.0808222778145,-3.36884423748533,0.00340871709168244,0.0724865742990302,-1.88052444995275
CILP2,-0.761491390369899,12.0390476532749,-3.30403367740316,0.00393431602555442,0.0826674736321852,-2.01497568290485
LSP1,-1.09286645492817,9.82937962404413,-3.28275790580803,0.00412365270160596,0.085626435509818,-2.05899484901327
CPB2,-0.536393561033015,20.5388787060954,-3.23822298849182,0.00454941155735344,0.0933687371945212,-2.15093366945071
OGN,-0.672691357872075,13.7898592096149,-3.23166854132822,0.00461560907715651,0.093638505990589,-2.16444068627563
LMAN2,-0.644065871220311,13.7545587752085,-3.2198622212247,0.00473723930167272,0.0943801858279476,-2.18875431352274
GCA,-0.810250054810627,11.7017292892632,-3.21777044988305,0.00475911418622512,0.0943801858279476,-2.19305986542068
NUDC,1.39739621004294,11.2527196692471,3.1981554649663,0.00496911403847974,0.0974498475324083,-2.23340135063597
GCLM,1.04779005871933,11.3585548251711,3.17126210126565,0.00527184618108274,0.102250642962758,-2.28861391158097
GABARAPL2,1.46211266423657,10.5216585784046,3.13806194057546,0.0056705289323331,0.107845252639605,-2.35661162087261
ABCF1,-0.726749322227091,11.7020506032746,-3.13710089657628,0.00568249773115203,0.107845252639605,-2.35857718889227
PCOLCE2,-0.459340017059922,15.153026031331,-3.11873254939196,0.00591605530145838,0.110035816091131,-2.39611431560598
NCF4,-0.914165119124977,11.6176993759204,-3.11822750335929,0.00592260766496177,0.110035816091131,-2.39714558678314
TPPP3,1.05326087468508,15.8682691638557,3.11070131047515,0.00602109406738606,0.110700323218087,-2.41250826056662
GLOD4,4.29407470951581,13.9844446909117,3.10444607865935,0.00610416311617776,0.11107059690777,-2.42526897121496
GRIK1,-0.814891035726518,14.9733498836291,-3.08839164265697,0.00632251321234605,0.111515268028998,-2.45798792604683
NUDT2,-0.509489695528584,14.6708852834766,-3.08280396519167,0.00640028045961843,0.111515268028998,-2.46936460933869
FGB,-0.462611788042366,23.3753396396546,-3.0818369310836,0.00641383356747886,0.111515268028998,-2.47133293758466
STC2,-0.495888747504901,14.0460616744361,-3.06759834041445,0.00661665529526318,0.111515268028998,-2.50029446325894
CORO1B,1.33531383321541,11.9054416588841,3.06309617252984,0.00668207633988492,0.111515268028998,-2.50944404368897
ITGB2,-0.581679707488175,12.4309175833618,-3.05609977420164,0.00678499246519246,0.111515268028998,-2.5236549298284
SOD3,-0.440631448009625,16.8287402217593,-3.05555382098947,0.00679308794200882,0.111515268028998,-2.52476346232783
ANTXR2,-0.560808154478422,15.4901624599685,-3.05457232952011,0.00680766529132907,0.111515268028998,-2.52675619158772
MPST,-1.03409460265665,10.3789272658529,-3.05292153088998,0.00683225203626785,0.111515268028998,-2.53010740401205
MGLL,0.872288466962862,13.6518031007689,3.05221061875175,0.00684286685176341,0.111515268028998,-2.53155043394878
CILP,-1.00409403277288,10.1299256843061,-3.05188300987866,0.0068477638652947,0.111515268028998,-2.5322153912164
MYO5A,1.99786818504014,11.0198661481325,3.04928104827579,0.00688677859215914,0.111515268028998,-2.5374959355308
PRPS1,1.00695381414563,13.5673947794325,3.04084204446736,0.00701480973270993,0.112555810711209,-2.55461344677475
PLOD1,-1.26087677252992,10.4405492642534,-3.03206621879088,0.00715040541941669,0.113697887975409,-2.57239943569249
ITGAM,-0.836931548428218,11.4653964856934,-3.02230453949729,0.00730422733567999,0.115106796852457,-2.5921656109482
OLA1,0.675893948498423,13.4194298508824,3.01252603818384,0.00746153604521061,0.116545231148643,-2.61194677387599
LCAT,0.768195660753241,12.9661752837433,2.99508892538267,0.00775025268194527,0.119992947224854,-2.64717259443261
IDH1,-0.667087497724542,12.2878528850462,-2.98609122225765,0.00790344461723009,0.120275755404805,-2.66532493158277
IGHV3-21,-0.802226089626037,11.5960257410655,-2.98601185659495,0.00790480885380025,0.120275755404805,-2.66548497212185
CON_sp|PRDX1_HUMAN|,0.496698678819283,13.6397248550972,2.98178947360629,0.00797771871455455,0.120347637018707,-2.67399748840221
JAM3,1.97964303046434,11.54202262785,2.94695962230485,0.00860452723507698,0.12779892036965,-2.74407129042082
VCAN,0.550001691841803,13.3437153381138,2.94109897368696,0.0087145823252496,0.12779892036965,-2.75583641400272
NBEAL2,-0.531593015198453,14.3606236693386,-2.9374175841769,0.00878440926186375,0.12779892036965,-2.76322284557467
GSTO1,0.472407564710346,13.2208768047266,2.93668512727881,0.00879836660888362,0.12779892036965,-2.76469210702612
ERP44,-0.443937125380724,14.6485136999641,-2.93353843556002,0.0088585729537571,0.12779892036965,-2.7710028113795
TUBB8,-1.0107127546719,14.6032864001104,-2.9275611465466,0.00897403723933929,0.12779892036965,-2.78298420466774
HPSE,0.748680331307159,13.6068978441844,2.92371914429942,0.00904902093367558,0.12779892036965,-2.79068121281923
RTCA,0.951316348249484,11.6065116910612,2.92362249356864,0.00905091504034349,0.12779892036965,-2.79087479852999
PCOLCE,-0.415909221938143,20.2547624890119,-2.91135189270458,0.00929452653480334,0.128141642677574,-2.81543488558708
PLA2G7,0.570113900526571,10.6308900534199,2.91071540304004,0.00930733432931558,0.128141642677574,-2.81670790845549
C1QTNF3,-0.757698949669524,11.9495032622798,-2.9086981231325,0.0093480399293358,0.128141642677574,-2.82074199268492
